cohort 1642, already done 0, to process 1642
  25/1642  ok=25 failed=0
  50/1642  ok=50 failed=0
  75/1642  ok=75 failed=0
  100/1642  ok=100 failed=0
  125/1642  ok=125 failed=0
  150/1642  ok=150 failed=0
  175/1642  ok=175 failed=0
  200/1642  ok=200 failed=0
  225/1642  ok=225 failed=0
  250/1642  ok=250 failed=0
  275/1642  ok=275 failed=0
  300/1642  ok=300 failed=0
  325/1642  ok=325 failed=0
  350/1642  ok=350 failed=0
  375/1642  ok=375 failed=0
  400/1642  ok=400 failed=0
  425/1642  ok=425 failed=0
  450/1642  ok=450 failed=0
  475/1642  ok=475 failed=0
  500/1642  ok=500 failed=0
  525/1642  ok=525 failed=0
  550/1642  ok=550 failed=0
  575/1642  ok=575 failed=0
  600/1642  ok=600 failed=0
  625/1642  ok=625 failed=0
  650/1642  ok=650 failed=0
  675/1642  ok=675 failed=0
  700/1642  ok=700 failed=0
  725/1642  ok=725 failed=0
  750/1642  ok=750 failed=0
/home/bolgac/projects/flight-triage/study/features.py:240: RuntimeWarning: All-NaN slice encountered
  worst = np.nanmax(stacked, axis=0)
  775/1642  ok=775 failed=0
  800/1642  ok=800 failed=0
  825/1642  ok=825 failed=0
  850/1642  ok=850 failed=0
  875/1642  ok=875 failed=0
  900/1642  ok=900 failed=0
  925/1642  ok=925 failed=0
  950/1642  ok=950 failed=0
  975/1642  ok=975 failed=0
  1000/1642  ok=1000 failed=0
  1025/1642  ok=1025 failed=0
  1050/1642  ok=1050 failed=0
  1075/1642  ok=1075 failed=0
  1100/1642  ok=1100 failed=0
  1125/1642  ok=1125 failed=0
  1150/1642  ok=1150 failed=0
  1175/1642  ok=1175 failed=0
  1200/1642  ok=1200 failed=0
  1225/1642  ok=1225 failed=0
  1250/1642  ok=1250 failed=0
  1275/1642  ok=1275 failed=0
  1300/1642  ok=1300 failed=0
  1325/1642  ok=1325 failed=0
  1350/1642  ok=1350 failed=0
  1375/1642  ok=1375 failed=0
  1400/1642  ok=1400 failed=0
  1425/1642  ok=1425 failed=0
  1450/1642  ok=1450 failed=0
  1475/1642  ok=1475 failed=0
  1500/1642  ok=1500 failed=0
  1525/1642  ok=1525 failed=0
  1550/1642  ok=1550 failed=0
  1575/1642  ok=1575 failed=0
  1600/1642  ok=1600 failed=0
  1625/1642  ok=1625 failed=0
  1642/1642  ok=1642 failed=0
Error: FLAGS_BITS message must be first message. Offset: 118
done: 1642 parsed, 0 failed -> features_cut10.jsonl
